Time resolution is 1 ps
                   0S = xxxx, clk = 0, s = x, rst = 1, Control = xxxx, T = xxxxX
                 810S = 0000, clk = 1, s = 0, rst = 0, Control = 0000, T = 00000
                 820S = 0000, clk = 0, s = 0, rst = 0, Control = 0000, T = 00000
                 830S = 0000, clk = 1, s = 0, rst = 0, Control = 0000, T = 00000
                 840S = 0000, clk = 0, s = 0, rst = 0, Control = 0000, T = 00000
                 850S = 0000, clk = 1, s = 0, rst = 0, Control = 0000, T = 00000
                 860S = 0000, clk = 0, s = 0, rst = 0, Control = 0000, T = 00000
                 870S = 0000, clk = 1, s = 0, rst = 0, Control = 0000, T = 00000
                 880S = 0000, clk = 0, s = 0, rst = 0, Control = 0000, T = 00000
                 890S = 0000, clk = 1, s = 0, rst = 0, Control = 0000, T = 00000
                 900S = 0000, clk = 0, s = 0, rst = 0, Control = 0000, T = 00000
                 910S = 0000, clk = 1, s = 0, rst = 0, Control = 0000, T = 00000
                 920S = 0000, clk = 0, s = 0, rst = 0, Control = 0000, T = 00000
                 930S = 0000, clk = 1, s = 0, rst = 0, Control = 0000, T = 00000
                 940S = 0000, clk = 0, s = 0, rst = 0, Control = 0000, T = 00000
                 950S = 0000, clk = 1, s = 0, rst = 0, Control = 0000, T = 00000
                 960S = 0000, clk = 0, s = 0, rst = 0, Control = 0000, T = 00000
                 970S = 0000, clk = 1, s = 0, rst = 0, Control = 0000, T = 00000
                 980S = 0000, clk = 0, s = 0, rst = 0, Control = 0000, T = 00000
                 990S = 0000, clk = 1, s = 0, rst = 0, Control = 0000, T = 00000
                1000S = 0000, clk = 0, s = 0, rst = 0, Control = 0000, T = 00000
