Time resolution is 1 ps
                 680clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 690clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 700clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 710clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 720clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 730clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 740clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 750clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 760clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 770clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 780clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 790clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 800clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 810clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 820clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 830clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 840clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 850clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 860clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 870clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 880clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 890clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 900clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 910clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 920clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 930clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 940clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 950clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 960clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 970clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 980clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 990clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1000clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1010clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1020clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1030clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1040clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1050clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1060clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1070clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1080clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1090clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1100clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1110clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1120clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1130clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1140clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1150clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1160clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1170clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1180clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1190clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1200clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1210clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1220clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1230clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1240clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1250clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1260clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1270clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1280clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1290clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1300clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1310clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1320clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1330clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1340clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1350clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1360clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1370clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1380clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1390clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1400clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1410clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1420clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1430clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1440clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1450clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1460clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1470clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1480clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1490clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1500clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1510clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1520clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1530clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1540clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1550clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1560clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1570clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1580clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1590clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1600clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1610clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1620clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1630clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1640clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1650clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1660clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1670clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1680clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1690clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1700clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1710clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1720clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1730clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1740clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1750clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1760clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1770clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1780clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1790clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1800clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1810clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1820clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1830clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1840clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1850clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1860clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1870clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1880clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1890clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1900clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1910clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1920clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1930clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1940clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1950clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1960clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1970clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1980clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                1990clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2000clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2010clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2020clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2030clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2040clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2050clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2060clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2070clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2080clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2090clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2100clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2110clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2120clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2130clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2140clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2150clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2160clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2170clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2180clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2190clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2200clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
